Name,DSP.Project,KSSL.Project,Date,Collectors,UserPedonID,labsampleno,Layer_sequ,layerid,dsp_limslayer_id,Region/strata,Soil,Comparison,COND,Plot,Pedon,Plot ID,Crop,AgronFeat,Pedon_ID,Hor_sequ,hor_ID,Comp_layer,hor_desg,hor_top,hor_bottom,hor_thick,Moist,AggStab,Bgluc,Pom_C,Pom_N,Pom_S,POX_C,CaCarb,Ca_amextr,CEC_ph7,Mg_amextr,K_amextr,Na_extr,Tot_C,Tot_N,Tot_S,CEC_NH4OAc,Mehlich_P,Est_totOC,ph_h20,ph_Cacl2,EC_test,Clay,Sand,Silt,CF_labvol,Sum_bases,BS_NH4OAc,BS_sumBase,Eff_CEC,CEC_sumcation,extr_acid,sand_coarse,sand_fine,sand_medium,sand_vfine,sand_vcoarse,silt_fine,BD_core_fld,FM_core,BD_recon13,BD_recon_moist,BD_compcav,FM_compcav,FM_clod,BD_clod_13,surf_stab,25_stab,Total.C,Total.N,BD_other
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053030,12N01632,3,S11OK053030-3,,none,Kirkland,Conventional Tillage,CT,5,5,CT5,wheat,CGC,CT5-5,3,CT5-5-3,3,Bt1,24,54,30,,5,17,0.0591254,0.00076877,0,267.12,,16.23,34.2,13.84,0.66,4.17,1.01,0.14,0,55.95,,1.01,6.93,6.75,0.65,47.75,5.8,46.4,1,34.9,100,88,,39.7,4.7942252,0.18,0.55,0.18,4.75,0.01,18.91,1.27,22.519685,,,,,,,6,4,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,7/27/2011,Dennis Alspach,S11OK053006,12N01557,1,S11OK053006-1,,none,Kirkland,No Tillage,NT,1,1,NT1,wheat,CGC,NT1-1,1,NT1-1-1,1,Ap1,0,2,2,,32,114,0.7016979,0.04274476,0,736.55,,5.93,14.23,4.56,0.93,0,1.7,0.12,0.01,56.86,,1.7,5.32,4.93,0.25,19.93,36,44.1,1,11.4,80,62,,18.3,6.8892163,0.73,10.77,7.52,16.95,0.05,13.04,1.29596142,2.3255814,,,,,,,6,6,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,7/27/2011,Dennis Alspach,S11OK053006,12N01558,2,S11OK053006-2,,none,Kirkland,No Tillage,NT,1,1,NT1,wheat,CGC,NT1-1,2,NT1-1-2,1,Ap2,2,15,13,,17,35,0.09880515,0,0,295.26,,7.4,15.71,5.77,0.5,0.07,0.72,0.04,0,55.3,,0.72,6.02,5.25,0.09,23.64,35.1,41.3,1,13.8,88,71,,19.4,5.6358962,0.22,10.35,7.42,17.21,0,12.34,1.21241626,4.0152964,,,,,,,6,6,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,7/27/2011,Dennis Alspach,S11OK053006,12N01559,3,S11OK053006-3,,none,Kirkland,No Tillage,NT,1,1,NT1,wheat,CGC,NT1-1,3,NT1-1-3,3,Bt1,15,60,45,,32,12,0.0228254,0.00366068,0,225.66,0.15,13.42,25.71,10.1,0.49,2.71,0.63,0.03,0,55.7,,0.61,7.28,6.96,0.45,40.09,24.4,35.5,1,26.7,100,,,,3.9952166,0.31,7.04,6.06,10.96,0,13.82,1.53895608,10.8355091,,,,,,,6,6,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,7/27/2011,Dennis Alspach,S11OK053007,12N01560,1,S11OK053007-1,,none,Kirkland,No Tillage,NT,1,2,NT1,wheat,CGC,NT1-2,1,NT1-2-1,1,Ap1,0,2,2,,30,104,0.44142183,0.03038642,0.000909773,517.42,,8.56,15.8,6.7,0.81,0.47,1.4,0.14,0.01,56.68,,1.4,5.97,5.27,0.17,28.04,18.4,53.6,1,16.6,100,70,,23.7,7.138888,0.22,4.29,2.51,11.44,0.02,18.3,0.7986739,3.7735849,,,,,,,5,3,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,7/27/2011,Dennis Alspach,S11OK053007,12N01561,2,S11OK053007-2,,none,Kirkland,No Tillage,NT,1,2,NT1,wheat,CGC,NT1-2,2,NT1-2-2,1,Ap2,2,17,15,,23,28,0.13645322,0.00938315,0,373.39,,11.66,21.74,8.34,0.48,1.48,0.65,0.03,0,55.6,,0.65,7.4,6.56,0.21,32.44,19,48.6,1,22,100,87,,25.4,3.4218076,0.21,4.63,3.1,11.09,0.01,16.84,1.27777555,5.6603774,,,,,,,5,3,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,7/27/2011,Dennis Alspach,S11OK053007,12N01562,3,S11OK053007-3,,none,Kirkland,No Tillage,NT,1,2,NT1,wheat,CGC,NT1-2,3,NT1-2-3,3,Bt1,17,43,26,,6,8,0.05408905,0.00622077,0.001159804,336.62,0.44,15.74,25.17,11.02,0.46,5.45,0.46,0.02,0.01,55.63,,0.41,7.97,7.79,1.11,38.02,11.8,50.2,1,32.7,100,,,,1.9885856,0.11,1.99,1.72,7.96,0.02,19.61,1.50881987,9.7203728,,,,,,,5,3,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,7/27/2011,Dennis Alspach,S11OK053008,12N01563,1,S11OK053008-1,,none,Kirkland,No Tillage,NT,1,3,NT1,wheat,CGC,NT1-3,1,NT1-3-1,1,Ap1,0,2,2,,21,159,0.75803177,0.01538508,0,659.56,,8.73,18.76,6.64,1.16,0.14,1.91,0.18,0,57.81,,1.91,5.8,5.31,0.25,27.42,18,54.6,1,16.6,88,69,,24.2,7.5700191,0.18,3.28,2.16,12.31,0.04,19.19,0.82881254,1.8181818,,,,,,,5,3,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,7/27/2011,Dennis Alspach,S11OK053008,12N01564,2,S11OK053008-2,,none,Kirkland,No Tillage,NT,1,3,NT1,wheat,CGC,NT1-3,2,NT1-3-2,1,Ap2,2,12,10,,26,33,0.05293912,0,0,334.04,,11.4,20.66,8.34,0.57,0.73,0.65,0.09,0,57.19,,0.65,7.11,6.25,0.11,31.5,17.4,51.1,1,21,100,84,,24.9,3.8511774,0.25,3.99,1.55,11.54,0,16.84,1.4887141,5.0607287,,,,,,,5,3,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,7/27/2011,Dennis Alspach,S11OK053008,12N01565,3,S11OK053008-3,,none,Kirkland,No Tillage,NT,1,3,NT1,wheat,CGC,NT1-3,3,NT1-3-3,3,Bt1,12,42,30,,28,5,0.06857965,0,0,224.71,1.31,31.28,27.16,12.01,0.6,2.66,0.56,0.05,0,57.46,,0.4,8.39,7.82,0.49,39.98,11.6,48.4,1,46.6,100,,,,2.0932756,0.32,1.63,1.2,8.15,0.43,19.2,1.687625,8.6038961,,,,,,,5,3,,,
